T,R,T1,T2
20.4,0,20.4,23.6
20.4,0,20.4,23.6
20.4,602.4973798,20.4,23.6
21,851.1610421,21,23.6
18.7,979.0186195,21,23.6
19.8,1051.588806,21,23.6
24.3,1093.300239,23.6,25
22.9,1114.78321,25,27.4
23.6,1120.644002,25,27.4
23.6,1112.042333,25.8,28.3
24.3,1087.262084,27.4,30.1
25.8,1040.855437,30.1,31.1
23.6,960.4721763,31.1,34.4
23.6,817.2106748,29.2,33.2
22.9,529.9111547,28.3,32.1
21.6,0,26.6,31.1
21,0,25.8,30.1
21,0,24.3,29.2
21,0,23.6,28.3
20.4,0,22.9,27.4
20.4,0,22.2,26.6
20.4,0,21.6,25.8
20.4,0,21,25
18.7,0,21,24.3
18.1,0,19.8,23.6
18.1,0,19.8,22.9
18.1,602.672086,19.2,22.9
19.2,850.9484337,19.2,22.2
19.2,978.6998821,20.4,22.9
21,1051.237843,21,23.6
22.2,1092.939942,21.6,24.3
22.2,1114.420727,23.6,25.8
22.2,1120.281231,24.3,26.6
22.9,1111.68003,28.3,29.2
22.9,1086.902722,29.2,31.1
22.2,1040.507961,30.1,32.1
22.2,960.1649296,31.1,33.2
21,817.0368329,29.2,33.2
20.4,530.2441944,27.4,31.1
20.4,0,25.8,30.1
19.8,0,24.3,29.2
19.8,0,23.6,27.4
19.8,0,22.9,26.6
19.8,0,22.2,26.6
19.8,0,22.2,25.8
19.2,0,21.6,25
19.2,0,21,25
19.2,0,20.4,24.3
19.2,0,20.4,23.6
19.2,0,20.4,23.6
19.2,602.7819021,20.4,23.6
19.8,850.726561,21,23.6
19.8,978.3893455,21,23.6
22.9,1050.901701,22.2,24.3
24.3,1092.597204,26.6,27.4
22.2,1114.076909,27.4,29.2
22.2,1119.937392,27.4,30.1
22.2,1111.336261,28.3,31.1
22.2,1086.560572,28.3,31.1
20.4,1040.174477,26.6,31.1
19.8,959.8638109,25,29.2
19.8,816.8478326,23.6,27.4
19.8,530.4906096,22.2,26.6
19.8,0,21.6,25
19.8,0,21,24.3
19.8,0,21,24.3
19.8,0,20.4,23.6
19.8,0,20.4,23.6
19.2,0,20.4,22.9
19.2,0,19.8,22.9
19.2,0,19.8,22.9
19.2,0,19.8,22.2
18.7,0,19.8,22.2
18.7,0,19.2,22.2
